Date,Leader's Price,Follower's Price,Cost
1,1.784,1.746,1
2,1.779,1.750,1
3,1.881,1.766,1
4,1.837,1.813,1
5,1.879,1.770,1
6,1.856,1.742,1
7,1.769,1.799,1
8,1.735,1.748,1
9,1.806,1.782,1
10,1.890,1.787,1
11,1.867,1.795,1
12,1.836,1.783,1
13,1.795,1.739,1
14,1.715,1.726,1
15,1.725,1.756,1
16,1.797,1.781,1
17,1.813,1.819,1
18,1.886,1.730,1
19,1.818,1.763,1
20,1.759,1.818,1
21,1.722,1.730,1
22,1.829,1.779,1
23,1.862,1.745,1
24,1.733,1.770,1
25,1.840,1.745,1
26,1.781,1.744,1
27,1.828,1.742,1
28,1.859,1.777,1
29,1.746,1.777,1
30,1.864,1.815,1
31,1.884,1.828,1
32,1.794,1.771,1
33,1.757,1.732,1
34,1.732,1.771,1
35,1.786,1.762,1
36,1.803,1.796,1
37,1.883,1.802,1
38,1.743,1.735,1
39,1.722,1.764,1
40,1.809,1.765,1
41,1.716,1.756,1
42,1.819,1.788,1
43,1.745,1.754,1
44,1.708,1.772,1
45,1.804,1.727,1
46,1.763,1.811,1
47,1.710,1.766,1
48,1.884,1.760,1
49,1.773,1.810,1
50,1.863,1.804,1
51,1.854,1.787,1
52,1.897,1.811,1
53,1.754,1.813,1
54,1.879,1.794,1
55,1.897,1.786,1
56,1.832,1.779,1
57,1.769,1.746,1
58,1.734,1.797,1
59,1.731,1.722,1
60,1.751,1.766,1
61,1.720,1.736,1
62,1.762,1.722,1
63,1.739,1.764,1
64,1.769,1.751,1
65,1.898,1.767,1
66,1.829,1.806,1
67,1.764,1.776,1
68,1.810,1.779,1
69,1.716,1.711,1
70,1.871,1.773,1
71,1.872,1.771,1
72,1.899,1.779,1
73,1.809,1.794,1
74,1.809,1.749,1
75,1.739,1.762,1
76,1.832,1.775,1
77,1.859,1.811,1
78,1.817,1.772,1
79,1.869,1.780,1
80,1.709,1.735,1
81,1.832,1.817,1
82,1.778,1.730,1
83,1.743,1.772,1
84,1.848,1.774,1
85,1.753,1.819,1
86,1.735,1.795,1
87,1.855,1.792,1
88,1.893,1.810,1
89,1.767,1.710,1
90,1.852,1.745,1
91,1.827,1.790,1
92,1.736,1.779,1
93,1.715,1.721,1
94,1.873,1.798,1
95,1.736,1.721,1
96,1.703,1.733,1
97,1.823,1.806,1
98,1.885,1.842,1
99,1.866,1.816,1
100,1.776,1.758,1
