Date,Leader's Price,Follower's Price,Cost
1,2.129,2.072,1
2,1.384,1.979,1
3,1.308,1.947,1
4,1.541,1.986,1
5,2.283,2.076,1
6,2.232,2.057,1
7,1.692,2.038,1
8,2.282,2.126,1
9,1.763,1.992,1
10,1.826,2.022,1
11,2.084,2.023,1
12,2.077,2.090,1
13,1.841,2.074,1
14,1.673,2.015,1
15,1.877,2.079,1
16,1.846,2.044,1
17,1.994,2.093,1
18,1.473,2.005,1
19,2.011,2.086,1
20,1.372,1.996,1
21,1.581,2.040,1
22,1.855,1.997,1
23,2.260,2.057,1
24,1.787,1.999,1
25,1.442,1.974,1
26,1.483,1.981,1
27,1.813,2.055,1
28,2.256,2.157,1
29,1.533,2.026,1
30,2.295,2.112,1
31,1.604,2.013,1
32,1.568,2.021,1
33,2.095,2.070,1
34,1.730,2.004,1
35,2.123,2.092,1
36,1.972,2.044,1
37,1.922,2.056,1
38,1.423,1.961,1
39,2.118,2.072,1
40,1.577,2.016,1
41,1.362,1.938,1
42,1.648,1.978,1
43,1.593,1.988,1
44,2.151,2.015,1
45,2.266,2.103,1
46,2.070,2.065,1
47,2.082,2.094,1
48,1.913,2.086,1
49,2.113,2.099,1
50,1.498,2.000,1
51,1.947,2.036,1
52,1.840,2.033,1
53,2.261,2.138,1
54,1.765,2.027,1
55,1.830,2.067,1
56,1.855,2.045,1
57,1.645,1.990,1
58,1.395,1.971,1
59,1.346,1.946,1
60,1.890,2.026,1
61,1.606,2.026,1
62,1.958,2.082,1
63,2.212,2.120,1
64,1.759,2.011,1
65,2.088,2.059,1
66,2.044,2.035,1
67,1.998,2.028,1
68,2.186,2.049,1
69,2.182,2.100,1
70,1.426,1.993,1
71,1.767,2.019,1
72,1.988,2.071,1
73,1.484,1.975,1
74,2.232,2.085,1
75,1.745,2.018,1
76,1.629,2.028,1
77,1.995,2.051,1
78,2.256,2.084,1
79,1.607,2.027,1
80,1.721,2.046,1
81,1.551,2.010,1
82,1.539,2.007,1
83,2.062,2.069,1
84,1.945,2.032,1
85,2.280,2.081,1
86,1.743,2.049,1
87,1.632,1.984,1
88,1.920,2.024,1
89,1.681,2.032,1
90,1.496,1.982,1
91,1.649,2.025,1
92,1.886,2.015,1
93,1.559,1.990,1
94,1.703,2.057,1
95,1.305,1.930,1
96,2.003,2.072,1
97,1.351,1.982,1
98,1.826,2.051,1
99,1.446,2.024,1
100,1.910,2.048,1
